time,open,high,low,close,tick_volume,spread,real_volume
2022-08-01 00:00:00,1.02083,1.0221,1.02083,1.02194,277,34,0
2022-08-01 01:00:00,1.02194,1.02236,1.02066,1.02148,3001,5,0
2022-08-01 02:00:00,1.02148,1.02165,1.02055,1.02101,1917,5,0
2022-08-01 03:00:00,1.02101,1.0226,1.02075,1.02201,7113,5,0
2022-08-01 04:00:00,1.02201,1.02402,1.02153,1.02326,8202,5,0
2022-08-01 05:00:00,1.02326,1.02412,1.02315,1.02396,4095,5,0
2022-08-01 06:00:00,1.02396,1.02402,1.02235,1.02255,3793,5,0
2022-08-01 07:00:00,1.02255,1.02313,1.02205,1.02237,2814,5,0
2022-08-01 08:00:00,1.02238,1.02254,1.02133,1.0216,3186,5,0
2022-08-01 09:00:00,1.0216,1.02408,1.02132,1.02333,8030,5,0
2022-08-01 10:00:00,1.02332,1.02405,1.02245,1.02297,12758,5,0
2022-08-01 11:00:00,1.02298,1.02675,1.02269,1.02556,12973,5,0
2022-08-01 12:00:00,1.02556,1.027,1.02514,1.02637,10706,5,0
2022-08-01 13:00:00,1.02638,1.02674,1.02461,1.02516,8336,5,0
2022-08-01 14:00:00,1.02516,1.02542,1.02287,1.02329,10431,5,0
2022-08-01 15:00:00,1.02329,1.02409,1.02247,1.02358,11896,3,0
2022-08-01 16:00:00,1.02358,1.02624,1.02265,1.02539,17080,5,0
2022-08-01 17:00:00,1.02539,1.02747,1.02329,1.02726,25863,5,0
2022-08-01 18:00:00,1.02725,1.02752,1.02664,1.02681,7876,5,0
2022-08-01 19:00:00,1.02681,1.0275,1.02624,1.02738,5470,5,0
2022-08-01 20:00:00,1.02738,1.02741,1.0253,1.02592,5444,5,0
2022-08-01 21:00:00,1.02593,1.02622,1.02453,1.02536,5264,5,0
2022-08-01 22:00:00,1.02536,1.02594,1.02492,1.02583,4771,5,0
2022-08-01 23:00:00,1.02582,1.02609,1.0255,1.02601,1588,5,0
2022-08-02 00:00:00,1.02601,1.02601,1.02488,1.02568,208,38,0
2022-08-02 01:00:00,1.02568,1.02632,1.02568,1.02619,1511,5,0
2022-08-02 02:00:00,1.02619,1.02686,1.02593,1.02625,2587,5,0
2022-08-02 03:00:00,1.02626,1.02938,1.02559,1.02864,10953,5,0
2022-08-02 04:00:00,1.02864,1.02865,1.02648,1.0268,10818,5,0
2022-08-02 05:00:00,1.0268,1.02763,1.02608,1.02745,6362,5,0
2022-08-02 06:00:00,1.02744,1.02823,1.02652,1.02737,5736,4,0
2022-08-02 07:00:00,1.02737,1.02794,1.0268,1.02711,5412,4,0
2022-08-02 08:00:00,1.02711,1.02767,1.02652,1.02675,5145,5,0
2022-08-02 09:00:00,1.02675,1.02675,1.02358,1.02416,10351,5,0
2022-08-02 10:00:00,1.02415,1.02482,1.0215,1.02246,17307,3,0
2022-08-02 11:00:00,1.02246,1.02444,1.0219,1.02406,13575,4,0
2022-08-02 12:00:00,1.02406,1.02454,1.02312,1.02379,8983,4,0
2022-08-02 13:00:00,1.02378,1.02389,1.02212,1.02268,8635,5,0
